method,sequence_name,class_id,class_name,iou_threshold,gt_boxes,predicted_boxes,true_positives,false_positives,false_negatives,precision,recall,AP50,ap50_definition,runtime_seconds,FPS
m2_yolo26_bytetrack_conf035,uav0000086_00000_v,1,pedestrian,0.5,14899,8127,5939,2188,8960,0.7307739633321029,0.39861735686958855,0.3474666678883077,all-point interpolated precision envelope,8.702757161125191,53.316436551012394
m2_yolo26_bytetrack_conf035,uav0000086_00000_v,4,car,0.5,0,0,0,0,0,,,,all-point interpolated precision envelope,8.702757161125191,53.316436551012394
m2_yolo26_bytetrack_conf035,uav0000086_00000_v,all,all,0.5,14899,8127,5939,2188,8960,0.7307739633321029,0.39861735686958855,0.3474666678883077,all-point interpolated precision envelope,8.702757161125191,53.316436551012394
m2_yolo26_bytetrack_conf035,uav0000117_02622_v,1,pedestrian,0.5,8164,1789,1312,477,6852,0.7333705980994969,0.16070553650171485,0.13111075154852433,all-point interpolated precision envelope,6.152722264014301,56.722859414801114
m2_yolo26_bytetrack_conf035,uav0000117_02622_v,4,car,0.5,4126,2661,1846,815,2280,0.6937241638481774,0.4474066892874455,0.39637120220148536,all-point interpolated precision envelope,6.152722264014301,56.722859414801114
m2_yolo26_bytetrack_conf035,uav0000117_02622_v,all,all,0.5,12290,4450,3158,1292,9132,0.7096629213483147,0.2569568755085435,0.21844911114006216,all-point interpolated precision envelope,6.152722264014301,56.722859414801114
m2_yolo26_bytetrack_conf035,uav0000137_00458_v,1,pedestrian,0.5,3792,1837,774,1063,3018,0.42133913990201416,0.20411392405063292,0.1494270045743162,all-point interpolated precision envelope,3.961773711955175,58.8120415098146
m2_yolo26_bytetrack_conf035,uav0000137_00458_v,4,car,0.5,6574,3634,3436,198,3138,0.945514584479912,0.5226650441131732,0.5094206821787026,all-point interpolated precision envelope,3.961773711955175,58.8120415098146
m2_yolo26_bytetrack_conf035,uav0000137_00458_v,all,all,0.5,10366,5471,4210,1261,6156,0.769511972217145,0.4061354427937488,0.3779167169700478,all-point interpolated precision envelope,3.961773711955175,58.8120415098146
m2_yolo26_bytetrack_conf035,uav0000182_00000_v,1,pedestrian,0.5,845,352,67,285,778,0.1903409090909091,0.07928994082840236,0.02150930217556332,all-point interpolated precision envelope,6.323549259104766,57.40447099029801
m2_yolo26_bytetrack_conf035,uav0000182_00000_v,4,car,0.5,5848,2391,1415,976,4433,0.5918025930572982,0.24196306429548564,0.18002598776443024,all-point interpolated precision envelope,6.323549259104766,57.40447099029801
m2_yolo26_bytetrack_conf035,uav0000182_00000_v,all,all,0.5,6693,2743,1482,1261,5211,0.5402843601895735,0.22142536978933214,0.1584648494419216,all-point interpolated precision envelope,6.323549259104766,57.40447099029801
m2_yolo26_bytetrack_conf035,uav0000268_05773_v,1,pedestrian,0.5,891,0,0,0,891,0.0,0.0,0.0,all-point interpolated precision envelope,19.709927802163293,49.61966425329362
m2_yolo26_bytetrack_conf035,uav0000268_05773_v,4,car,0.5,8688,1941,1158,783,7530,0.5965996908809892,0.13328729281767956,0.11247054998211606,all-point interpolated precision envelope,19.709927802163293,49.61966425329362
m2_yolo26_bytetrack_conf035,uav0000268_05773_v,all,all,0.5,9579,1941,1158,783,8421,0.5965996908809892,0.12088944566238648,0.10200899240470032,all-point interpolated precision envelope,19.709927802163293,49.61966425329362
m2_yolo26_bytetrack_conf035,uav0000305_00000_v,1,pedestrian,0.5,540,0,0,0,540,0.0,0.0,0.0,all-point interpolated precision envelope,3.092495664037415,59.49887081160152
m2_yolo26_bytetrack_conf035,uav0000305_00000_v,4,car,0.5,3618,710,578,132,3040,0.8140845070422535,0.1597567716970702,0.1414265720333477,all-point interpolated precision envelope,3.092495664037415,59.49887081160152
m2_yolo26_bytetrack_conf035,uav0000305_00000_v,all,all,0.5,4158,710,578,132,3580,0.8140845070422535,0.139009139009139,0.12305948475628957,all-point interpolated precision envelope,3.092495664037415,59.49887081160152
m2_yolo26_bytetrack_conf035,uav0000339_00001_v,1,pedestrian,0.5,3273,1351,802,549,2471,0.5936343449296817,0.24503513596089216,0.2070302197722072,all-point interpolated precision envelope,4.622348666001926,59.49356482401828
m2_yolo26_bytetrack_conf035,uav0000339_00001_v,4,car,0.5,2967,1765,1387,378,1580,0.7858356940509915,0.46747556454330974,0.39890855067412523,all-point interpolated precision envelope,4.622348666001926,59.49356482401828
m2_yolo26_bytetrack_conf035,uav0000339_00001_v,all,all,0.5,6240,3116,2189,927,4051,0.7025032092426188,0.350801282051282,0.2985207809330253,all-point interpolated precision envelope,4.622348666001926,59.49356482401828
m3_rtdetr_botsort_conf055,uav0000086_00000_v,1,pedestrian,0.5,14899,5682,5005,677,9894,0.8808518127419922,0.3359285858111283,0.31370262057451165,all-point interpolated precision envelope,117.26997811492765,3.956681901528692
m3_rtdetr_botsort_conf055,uav0000086_00000_v,4,car,0.5,0,0,0,0,0,,,,all-point interpolated precision envelope,117.26997811492765,3.956681901528692
m3_rtdetr_botsort_conf055,uav0000086_00000_v,all,all,0.5,14899,5682,5005,677,9894,0.8808518127419922,0.3359285858111283,0.31370262057451165,all-point interpolated precision envelope,117.26997811492765,3.956681901528692
m3_rtdetr_botsort_conf055,uav0000117_02622_v,1,pedestrian,0.5,8164,1830,1388,442,6776,0.7584699453551913,0.17001469867711905,0.1415653385742535,all-point interpolated precision envelope,84.81895757911843,4.114646182422788
m3_rtdetr_botsort_conf055,uav0000117_02622_v,4,car,0.5,4126,3936,2642,1294,1484,0.671239837398374,0.6403296170625303,0.585504973446983,all-point interpolated precision envelope,84.81895757911843,4.114646182422788
m3_rtdetr_botsort_conf055,uav0000117_02622_v,all,all,0.5,12290,5766,4030,1736,8260,0.6989247311827957,0.3279088689991863,0.28621603827175046,all-point interpolated precision envelope,84.81895757911843,4.114646182422788
m3_rtdetr_botsort_conf055,uav0000137_00458_v,1,pedestrian,0.5,3792,1965,838,1127,2954,0.4264631043256997,0.2209915611814346,0.16337494368806232,all-point interpolated precision envelope,57.58437008303008,4.04623684628382
m3_rtdetr_botsort_conf055,uav0000137_00458_v,4,car,0.5,6574,3966,3846,120,2728,0.9697428139183056,0.5850319440219045,0.5786660048017271,all-point interpolated precision envelope,57.58437008303008,4.04623684628382
m3_rtdetr_botsort_conf055,uav0000137_00458_v,all,all,0.5,10366,5931,4684,1247,5682,0.7897487776091722,0.45186185606791435,0.43478527107844783,all-point interpolated precision envelope,57.58437008303008,4.04623684628382
m3_rtdetr_botsort_conf055,uav0000182_00000_v,1,pedestrian,0.5,845,1354,184,1170,661,0.1358936484490399,0.21775147928994082,0.046627885779191275,all-point interpolated precision envelope,91.7340743051027,3.957090129810229
m3_rtdetr_botsort_conf055,uav0000182_00000_v,4,car,0.5,5848,3661,2329,1332,3519,0.6361649822452882,0.39825581395348836,0.2972653396536372,all-point interpolated precision envelope,91.7340743051027,3.957090129810229
m3_rtdetr_botsort_conf055,uav0000182_00000_v,all,all,0.5,6693,5015,2513,2502,4180,0.5010967098703888,0.37546690572239655,0.26140092639950085,all-point interpolated precision envelope,91.7340743051027,3.957090129810229
