stage,experiment_id,attempt,method,MOTA,MOTP,IDF1,IDP,IDR,FP,FN,IDS,num_frames,runtime_seconds,FPS
gmc_ablation,rtdetr_botsort_conf055_gmc_off,001,rtdetr_botsort_conf055_gmc_off,0.20610354223433247,0.20404250368949248,0.3914881921393687,0.6096533105060415,0.28831451926819773,8421,42273,294,2846,673.8896469210449,4.223243394527838
gmc_ablation,rtdetr_botsort_conf055_gmc_on,001,rtdetr_botsort_conf055_gmc_on,0.2142312183729077,0.1985267279136491,0.4363864229765013,0.6627121332275971,0.32529388867263526,8832,41532,102,2846,678.0086189221765,4.1975867571186
gmc_ablation,yolo26_botsort_gmc_off,001,yolo26_botsort_gmc_off,0.17111716621253403,0.20516898300763262,0.33244176211050913,0.6251665878509093,0.22642273258077072,5974,46938,323,2846,52.734617745736614,53.96834416667575
gmc_ablation,yolo26_botsort_gmc_on,001,yolo26_botsort_gmc_on,0.17958738808875052,0.20150182006994796,0.3703003074012769,0.6688496583143508,0.2560217983651226,6437,46078,176,2846,73.01333053581766,38.97918337807994
m3_compact_tuning,m3_rtdetr_botsort_conf050,001,m3_rtdetr_botsort_conf050,0.21074347995328924,0.20654556772592728,0.46515581296514097,0.6367916869621691,0.36639937718956794,11643,38914,133,2846,708.1891010198015,4.018700649165206
m3_compact_tuning,m3_rtdetr_botsort_conf055,001,m3_rtdetr_botsort_conf055,0.2142312183729077,0.1985267279136491,0.4363864229765013,0.6627121332275971,0.32529388867263526,8832,41532,102,2846,703.9054528006818,4.043156632295438
m3_compact_tuning,m3_rtdetr_botsort_conf060,001,m3_rtdetr_botsort_conf060,0.20608797197353057,0.18983073067302536,0.40182286506835746,0.6856241313248939,0.2841884001557026,6643,44247,99,2846,713.6568950026558,3.9879107452460176
m3_compact_tuning,m3_rtdetr_botsort_conf065,001,m3_rtdetr_botsort_conf065,0.18743479953289222,0.17883998188042768,0.3652552433715869,0.7233208869220485,0.24431296224211754,4780,47312,95,2846,733.8293866264576,3.8782856776608
strict_sahi_botsort,sahi_yolo26_botsort_slice640_overlap020_conf040,001,sahi_yolo26_botsort_slice640_overlap020_conf040,0.07072012456208643,0.23930606985295416,0.4098278571058584,0.4599197814334709,0.36957571039314907,23367,35983,333,2846,858.3325598117663,3.315731143444136
strict_sahi_botsort,sahi_yolo26_botsort_slice640_overlap020_conf050,001,sahi_yolo26_botsort_slice640_overlap020_conf050,0.10332425068119888,0.2304366717225029,0.3918844166924498,0.49250600933213934,0.32540288049824834,17756,39547,286,2846,857.4589709622378,3.3191092476485817
strict_sahi_botsort,sahi_yolo26_botsort_slice768_overlap015_conf040,001,sahi_yolo26_botsort_slice768_overlap015_conf040,0.09202024133904241,0.23694084081715158,0.4229056571082041,0.47667219998047067,0.38003892565200464,22507,35527,281,2846,743.4247409158852,3.828228794879468
strict_sahi_botsort,sahi_yolo26_botsort_slice768_overlap015_conf050,001,sahi_yolo26_botsort_slice768_overlap015_conf050,0.11883223043985991,0.22853427048691216,0.4047393985905343,0.5072963588588588,0.33667574931880107,17385,38986,222,2846,719.8066769999859,3.953839400131121
upscaling_experiments,m2_yolo26_bytetrack_conf035,001,m2_yolo26_bytetrack_conf035,0.16889061891786683,0.21020861304469968,0.3247489879468472,0.6114723741440937,0.22108213312572986,6021,47025,332,2846,58.241392002557404,48.865590298305904
upscaling_experiments,rtdetr_upscale15_botsort,001,rtdetr_upscale15_botsort,0.1624289606850915,0.21506986137560574,0.36663780279313485,0.638726646810815,0.2571117166212534,7614,45986,193,2846,1672.261897188495,1.701886531520489
upscaling_experiments,yolo26_upscale15_botsort,001,yolo26_upscale15_botsort,0.16548073180225764,0.2200311576408773,0.42788571428571426,0.5509258123850399,0.3497703386531724,14952,38402,243,2846,146.02912433602614,19.48926293258527
upscaling_experiments,yolo26_upscale15_bytetrack,001,yolo26_upscale15_bytetrack,0.157399766446088,0.22661092932686153,0.38638624968297014,0.5172503852281334,0.3083690151810043,13833,39769,514,2846,115.96108539574197,24.542716121424846
upscaling_experiments,yolo26_upscale20_botsort,001,yolo26_upscale20_botsort,0.10980147917477623,0.23401048492854867,0.4626534759897207,0.5021969406917173,0.42888283378746594,23751,33127,295,2846,203.49887245282298,13.985335474818351
upscaling_experiments,yolo26_upscale20_bytetrack,001,yolo26_upscale20_bytetrack,0.10634488127676134,0.2401478543700579,0.403277668291671,0.4532613130743972,0.36322304398598676,21980,34738,677,2846,186.1394939601887,15.289608558883797
