stage,experiment_id,attempt,method,sequence_name,MOTA,IDF1,FP,FN,IDS,FPS,unique_predicted_ids,short_tracks_leq_3,average_predicted_track_length,median_predicted_bbox_area,median_gt_bbox_area,car_recall_proxy,car_gt_boxes,car_matched_predicted_boxes,prediction_path
gmc_ablation,rtdetr_botsort_conf055_gmc_off,001,rtdetr_botsort_conf055_gmc_off,uav0000086_00000_v,0.2840459091214176,0.3992002340778309,674,9966,27,4.111855797924307,56,9,100.125,3261.7736999999997,1690.0,,0,0,/Users/katharsis/Developer/cv/mot/outputs/next_experiments/default/stages/gmc_ablation/rtdetr_botsort_conf055_gmc_off/attempts/001/benchmark/runs/rtdetr_botsort_conf055_gmc_off/uav0000086_00000_v/tracks.txt
gmc_ablation,rtdetr_botsort_conf055_gmc_off,001,rtdetr_botsort_conf055_gmc_off,uav0000117_02622_v,0.17607811228641168,0.345220462572633,1495,8521,110,4.1600059796638895,200,61,26.32,5296.93115,4134.0,0.6262724188075618,4126,2584,/Users/katharsis/Developer/cv/mot/outputs/next_experiments/default/stages/gmc_ablation/rtdetr_botsort_conf055_gmc_off/attempts/001/benchmark/runs/rtdetr_botsort_conf055_gmc_off/uav0000117_02622_v/tracks.txt
gmc_ablation,rtdetr_botsort_conf055_gmc_off,001,rtdetr_botsort_conf055_gmc_off,uav0000137_00458_v,0.3330117692456106,0.5092190548108992,1014,5855,45,4.180997679812371,127,22,43.503937007874015,9694.212,7828.0,0.5725585640401581,6574,3764,/Users/katharsis/Developer/cv/mot/outputs/next_experiments/default/stages/gmc_ablation/rtdetr_botsort_conf055_gmc_off/attempts/001/benchmark/runs/rtdetr_botsort_conf055_gmc_off/uav0000137_00458_v/tracks.txt
gmc_ablation,rtdetr_botsort_conf055_gmc_off,001,rtdetr_botsort_conf055_gmc_off,uav0000182_00000_v,0.04063947407739432,0.37850467289719625,2066,4324,31,4.109927845670634,140,32,31.678571428571427,1161.8684,1080.0,0.38235294117647056,5848,2236,/Users/katharsis/Developer/cv/mot/outputs/next_experiments/default/stages/gmc_ablation/rtdetr_botsort_conf055_gmc_off/attempts/001/benchmark/runs/rtdetr_botsort_conf055_gmc_off/uav0000182_00000_v/tracks.txt
gmc_ablation,rtdetr_botsort_conf055_gmc_off,001,rtdetr_botsort_conf055_gmc_off,uav0000268_05773_v,0.04186240734941016,0.27936077189808534,1640,7532,6,4.382789655139208,28,4,131.67857142857142,16735.168800000003,2052.0,0.2356123388581952,8688,2047,/Users/katharsis/Developer/cv/mot/outputs/next_experiments/default/stages/gmc_ablation/rtdetr_botsort_conf055_gmc_off/attempts/001/benchmark/runs/rtdetr_botsort_conf055_gmc_off/uav0000268_05773_v/tracks.txt
gmc_ablation,rtdetr_botsort_conf055_gmc_off,001,rtdetr_botsort_conf055_gmc_off,uav0000305_00000_v,0.20851370851370854,0.36031532397615845,85,3200,6,4.153203475339125,29,4,35.96551724137931,8255.9826,6554.0,0.26478717523493644,3618,958,/Users/katharsis/Developer/cv/mot/outputs/next_experiments/default/stages/gmc_ablation/rtdetr_botsort_conf055_gmc_off/attempts/001/benchmark/runs/rtdetr_botsort_conf055_gmc_off/uav0000305_00000_v/tracks.txt
gmc_ablation,rtdetr_botsort_conf055_gmc_off,001,rtdetr_botsort_conf055_gmc_off,uav0000339_00001_v,0.2963141025641025,0.4437205935577271,1447,2875,69,4.188793046049444,126,34,38.19047619047619,2857.8556000000003,2346.0,0.7182339063026626,2967,2131,/Users/katharsis/Developer/cv/mot/outputs/next_experiments/default/stages/gmc_ablation/rtdetr_botsort_conf055_gmc_off/attempts/001/benchmark/runs/rtdetr_botsort_conf055_gmc_off/uav0000339_00001_v/tracks.txt
gmc_ablation,rtdetr_botsort_conf055_gmc_on,001,rtdetr_botsort_conf055_gmc_on,uav0000086_00000_v,0.2853211624941271,0.40487567040468064,669,9957,22,4.063455750899663,52,8,107.90384615384616,3258.5260000000003,1690.0,,0,0,/Users/katharsis/Developer/cv/mot/outputs/next_experiments/default/stages/gmc_ablation/rtdetr_botsort_conf055_gmc_on/attempts/001/benchmark/runs/rtdetr_botsort_conf055_gmc_on/uav0000086_00000_v/tracks.txt
gmc_ablation,rtdetr_botsort_conf055_gmc_on,001,rtdetr_botsort_conf055_gmc_on,uav0000117_02622_v,0.1888527257933279,0.39919082939986517,1579,8363,27,4.135947851308688,124,46,44.403225806451616,5143.802500000001,4134.0,0.6347552108579738,4126,2619,/Users/katharsis/Developer/cv/mot/outputs/next_experiments/default/stages/gmc_ablation/rtdetr_botsort_conf055_gmc_on/attempts/001/benchmark/runs/rtdetr_botsort_conf055_gmc_on/uav0000117_02622_v/tracks.txt
gmc_ablation,rtdetr_botsort_conf055_gmc_on,001,rtdetr_botsort_conf055_gmc_on,uav0000137_00458_v,0.3372564152035501,0.5544701372573265,1154,5712,4,4.127090163677631,90,13,64.53333333333333,9230.039149999999,7828.0,0.5835108001216915,6574,3836,/Users/katharsis/Developer/cv/mot/outputs/next_experiments/default/stages/gmc_ablation/rtdetr_botsort_conf055_gmc_on/attempts/001/benchmark/runs/rtdetr_botsort_conf055_gmc_on/uav0000137_00458_v/tracks.txt
